Marca temporal,Graffiti,Cercanía a puntos de interés ,Nivel de accesibilidad ,Visibilidad ,Tipo de espacio ,Frecuencia de visitas al área ,Técnica utilizada ,Formato,Complejidad visual ,Tamaño del arte ,Colores dominantes ,Tonalidad predominante ,Saturación,Contraste entre colores ,Monocromático o policromático ,Temas representados ,Enfoque,Narrativa,Uso de metáforas visuales ,Elementos simbólicos específicos ,Influencias culturales ,Iconografía religiosa o espiritual ,Simbolismo político o social ,Duración esperada ,Condiciones de conservación ,Factores de deterioro visibles ,Frecuencia de mantenimiento o restauración 
15/1/2025 17:32:10,034,Parque,Público,Alta,Muro privado,Media,"Arte urbano, graffiti",Mural,Intrincado,Monumental,"Multicolor. Azul, rojo, negro y blanco",Cálidos,Alta,Alta,Policromático,"Mitología, Naturaleza, Espiritualidad o religión, Resistencia social, Política, Cultura pop, Firma de artista, Letras, Arte Abstracto",Comunitario,Abstracta,Sí,"Corazones, Figuras abstractas",Ninguna identificable,Sí,Sí,Temporal,Regular,Vandalismo,Ninguna
15/1/2025 17:36:39,035,Parque,Público,Alta,Muro privado,Media,"Arte urbano, graffiti",Mural,Intrincado,Monumental,"Azul, negro y rojo",Fríos,Media,Media,Policromático,"Espiritualidad o religión, Cultura pop, Firma de artista, Letras, Arte Abstracto",Comunitario,Explícita,Sí,"Corazones, Conejo",Ninguna identificable,Sí,No,Temporal,Regular,Vandalismo,Ninguna
15/1/2025 17:46:54,036,Parque,Público,Media,Muro público,Media,"Arte urbano, graffiti",Grafiti,Simple,Pequeño,Negro,Neutros,Alta,Baja,Monocromático,"Letras, Arte Abstracto, Sexual, Amor",Individual,Abstracta,No,Ninguno claramente identificable,Ninguna identificable,No,No,Temporal,Regular,Exposición al clima,Ninguna
15/1/2025 17:50:52,037,Calle,Público,Alta,Muro privado,Baja,"Arte urbano, graffiti",Grafiti,Simple,Pequeño,Azul,Fríos,Media,Alta,Monocromático,Firma de artista,Individual,Abstracta,No,Miembro reproductor masculino,Ninguna identificable,No,No,Temporal,Buena,Ninguno,Ninguna
15/1/2025 17:52:55,038,Calle,Público,Media,Muro privado,Baja,"Arte urbano, graffiti",Grafiti,Simple,Pequeño,Gris,Neutros,Baja,Baja,Monocromático,Arte Abstracto,Individual,Abstracta,No,Ninguno identificable,Ninguna identificable,No,No,Temporal,Deteriorada,Exposición al clima,Ninguna
15/1/2025 17:54:17,039,Calle,Público,Alta,Muro privado,Baja,"Arte urbano, graffiti",Grafiti,Simple,Pequeño,Gris ,Neutros,Baja,Baja,Monocromático,Arte Abstracto,Individual,Abstracta,No,Ninguno identificable,Ninguna identificable,No,No,Temporal,Deteriorada,Desgaste del muro,Ninguna
15/1/2025 17:56:35,040,Plaza,Público,Alta,Muro privado,Baja,Minimalismo,Mural,Detallado,Mediano,"Negro, blanco, toques de verde, rosa y azul",Neutros,Media,Alta,Policromático,"Naturaleza, Cultura pop, Amor",Comunitario,Explícita,Sí,"Gatos, luna, corazones, árbol",Occidental,No,No,Permanente,Buena,Ninguno,Frecuente
15/1/2025 17:58:48,041,Calle,Público,Alta,Muro privado,Media,"Arte urbano, graffiti",Grafiti,Simple,Pequeño,Verde,Neutros,Media,Media,Monocromático,Firma de artista,Individual,Abstracta,No,"Palabra ""SUPA"" (posible pseudónimo o firma).",Occidental,No,No,Temporal,Regular,Exposición al clima,Ninguna
15/1/2025 18:01:50,042,Terreno abierto,Semi-privado,Baja,Muro privado,Baja,"Arte urbano, graffiti",Grafiti,Simple,Pequeño,Azul,Fríos,Media,Media,Monocromático,Firma de artista,Individual,Abstracta,No,"Letras ""JOS"" y otros trazos.",Occidental,No,No,Temporal,Regular,Exposición al clima,Ninguna
15/1/2025 18:04:37,043,Terreno abierto,Semi-privado,Media,Muro privado,Baja,"Arte urbano, graffiti",Grafiti,Detallado,Mediano,"Azul, negro.",Fríos,Media,Media,Policromático,"Cultura pop, Firma de artista",Individual,Abstracta,No,Dibujos de personajes caricaturescos,Occidental,No,No,Temporal,Regular,Exposición al clima,Ninguna
15/1/2025 18:07:21,044,Calle,Público,Alta,Muro privado,Media,"Arte urbano, graffiti",Grafiti,Detallado,Mediano,"Azul, blanco y negro",Fríos,Media,Alta,Policromático,"Firma de artista, Letras, Arte Abstracto",Individual,Abstracta,No,Letras estilizadas,Oriental,No,No,Temporal,Regular,Exposición al clima,Ninguna
15/1/2025 18:11:39,045,Calle,Público,Alta,Muro privado,Media,Abstracto,Mural,Detallado,Grande,"Azul, naranja, blanco y verde",Neutros,Media,Media,Policromático,"Mitología, Naturaleza, Cultura pop, Firma de artista, Letras, Arte Abstracto",Comunitario,Abstracta,Sí,árbol y el gato,Occidental,No,No,Permanente,Buena,Exposición al clima,Ocasional
15/1/2025 18:14:36,046,Calle,Público,Media,Muro privado,Media,"Arte urbano, graffiti",Grafiti,Simple,Mediano,"Blanco, negro y naranja",Neutros,Baja,Media,Policromático,Letras,Individual,Abstracta,No,Ninguno evidente,Occidental,No,No,Temporal,Regular,Vandalismo,Ninguna
15/1/2025 18:18:20,047,Calle,Público,Alta,Muro privado,Media,"Arte urbano, graffiti",Grafiti,Simple,Mediano,Negro y naranja,Neutros,Baja,Baja,Policromático,"Resistencia social, Política, Cultura pop, Firma de artista, Letras",Comunitario,Explícita,No,Dibujos sencillos como rostros y trazos.,Occidental,No,Sí,Temporal,Regular,Vandalismo,Ninguna
15/1/2025 18:45:13,048,Calle,Público,Media,Muro privado,Media,"Arte urbano, graffiti",Grafiti,Simple,Mediano,"Azul, negro, y algunos tonos amarillos",Neutros,Media,Media,Policromático,"Política, Firma de artista, Letras",Individual,Explícita,No,Aparecen figuras simples y símbolos básicos como cruces o elementos geométricos.,Ninguna identificable,No,Sí,Temporal,Regular,Vandalismo,Ninguna
15/1/2025 18:47:32,049,Calle,Público,Media,Muro privado,Media,"Arte urbano, graffiti",Grafiti,Detallado,Grande,"Azul, blanco y rojo",Fríos,Alta,Alta,Policromático,"Firma de artista, Letras",Individual,Abstracta,No,Letras estilizadas,Ninguna identificable,No,No,Temporal,Buena,Ninguno,Ninguna
15/1/2025 18:50:50,050,Calle,Público,Alta,Muro privado,Media,"Arte urbano, graffiti",Grafiti,Detallado,Grande,"Blanco, azul y rojo",Fríos,Alta,Alta,Policromático,"Política, Letras, números",Individual,Abstracta,No,mensaje cifrado,Ninguna identificable,No,Sí,Temporal,Buena,Vandalismo,Ninguna
15/1/2025 18:54:12,051,Calle,Público,Alta,Muro privado,Media,"Arte urbano, graffiti",Grafiti,Simple,Mediano,"Negro, naranja y blanco",Neutros,Baja,Media,Policromático,"Resistencia social, Política, Letras, Sexual",Comunitario,Explícita,No,cruz gamada y otros símbolos políticos,Occidental,No,Sí,Temporal,Regular,Vandalismo,Ninguna
15/1/2025 18:56:34,052,Calle,Público,Alta,Muro privado,Media,"Arte urbano, graffiti",Grafiti,Simple,Mediano,Negro y rojo,Neutros,Baja,Media,Policromático,"Resistencia social, Política, Sexual",Individual,Explícita,No,La cruz gamada y otros símbolos menores.,Occidental,No,Sí,Temporal,Regular,Vandalismo,Ninguna
15/1/2025 18:58:15,053,Calle,Público,Alta,Muro privado,Media,"Arte urbano, graffiti",Grafiti,Detallado,Mediano,"Rojo, negro y azul",Fríos,Media,Media,Policromático,"Firma de artista, Letras",Individual,Explícita,No,Letras,Occidental,No,No,Temporal,Deteriorada,Exposición al clima,Ninguna
15/1/2025 19:01:50,054,Calle,Público,Alta,Muro privado,Media,"Arte urbano, graffiti",Grafiti,Simple,Mediano,"Azul, negro, y tonos claros",Fríos,Media,Media,Policromático,"Cultura pop, Firma de artista, Letras",Individual,Explícita,No,manos pintadas y Messi,Occidental,No,No,Temporal,Buena,Exposición al clima,Ninguna
15/1/2025 19:05:12,055,Calle,Público,Baja,Muro privado,Media,"Arte urbano, graffiti",Grafiti,Simple,Pequeño,Rojo,Cálidos,Media,Baja,Monocromático,Firma de artista,Individual,Explícita,No,firma ,Occidental,No,No,Temporal,Buena,Ninguno,Ninguna
